mouse,day,initial_slopes,upper_ci,lower_ci
901,0,0.318,-0.028,1.03
901,14,171.535,159.396,184.03
901,28,35.666,34.847,36.493
901,42,61.44,60.253,62.633
902,0,-13.496,-13.973,-13.025
902,14,25.931,25.836,26.026
902,28,32.42,32.175,32.664
902,42,41.938,41.622,42.26
903,0,3.704,3.241,4.193
903,14,-0.637,-0.664,-0.611
903,28,-4.894,-4.931,-4.857
903,42,-5.748,-5.809,-5.685
903,56,25.471,22.676,28.424
904,0,3.878,3.624,4.141
904,14,41.787,38.878,44.772
904,28,26.376,25.691,27.068
904,42,84.650,81.210,88.207
905,0,2.354,2.34,2.375
905,14,5.18,5.161,5.198
905,28,46.251,44.107,48.45
905,42,54.132,51.376,56.965
905,56,50.312,47.296,53.406
